Time,Subtitle,Machine Translation,Transliteration
11:57,灵文？,Spiritual text?  Your,líng wén  ？ 
11:58,殿下 好消息,"Highness, good news.",diàn xià    hǎo xiāo xī 
12:00,中天庭有两位小神官愿来助你一臂之力 ,There are two young priests in the Central Heaven who are willing to lend a hand to you.,zhōng  tiān tíng  yǒu  liǎng wèi  xiǎo  shén guān  yuàn  lái zhù  nǐ  yī bì zhī lì   
12:04,这会儿人应该到了吧,"They should be here by now, right,",zhè huì er  rén  yīng gāi  dào  le  ba 
12:07,小神官？,young priests?,xiǎo  shén guān  ？ 
12:13,灵文啊 ,"Lingwen,",líng wén  a   
12:14, 他们不像来助我行事,"they don't seem to be here to help me,",  tā men  bù  xiàng  lái zhù  wǒ  xíng shì 
12:16,更像来取我狗头,but more like to take my head.,gèng  xiàng  lái qǔ  wǒ  gǒu tóu 
12:18,你莫不是把人家诳了过来,"Did you trick them here,",nǐ  mò bú shì  bǎ  rén jiā  kuáng  le  guò lái 
12:20,灵文？灵文？,Lingwen?  Spiritual text?  May,líng wén  ？  líng wén  ？ 
12:35,请问 二位是？,I ask who you two are?,qǐng wèn    èr wèi  shì  ？ 
12:37,南风,Nanfeng,nán fēng 
12:38,扶摇,"Fuyao, I'm",fú yáo 
12:38,不是问你们名字啊,not asking for your names.,bú shì  wèn  nǐ men  míng zì  a 
12:40,多谢二位肯来相助,Thank you both for coming to help. May I,duō xiè  èr wèi  kěn  lái  xiāng zhù 
12:42,敢问二位来自哪位殿下座下,ask which palace you are from?,gǎn  wèn  èr wèi  lái zì  nǎ wèi  diàn xià  zuò  xià 
12:45,南阳殿,"Nanyang Palace,",nán yáng  diàn 
12:45,玄真殿,"Xuanzhen Palace,",xuán zhēn diàn 
12:49,所 所以 是你们家将军派 你们来的？,so was it your general who sent you here?  : : : : : : : : : : : : : : :,suǒ    suǒ yǐ    shì  nǐ men  jiā  jiāng jūn  pài    nǐ men  lái  de  ？ 
12:53,我家将军不知此事,-,wǒ jiā  jiāng jūn  bù zhī  cǐ shì 
12:55,我家将军也不知,-,wǒ jiā  jiāng jūn  yě  bù zhī 
12:59,那你们…知道我是谁吗,-,nà  nǐ men  …  zhī dào  wǒ  shì  shuí  ma 
13:02, 你是太子殿下,-,  nǐ  shì  tài zi  diàn xià 
13:04,你是人间正道,-,nǐ  shì  rén jiān zhèng dào 
13:06, 你是世界中心,-,  nǐ  shì  shì jiè  zhōng xīn 
13:08,他是不是翻了个白眼,-,tā  shì bú shì  fān  le  gè  bái yǎn 
13:10,是 让他滚,-,shì    ràng  tā  gǔn 
13:12,凭什么 要滚你滚,-,píng  shén me    yào  gǔn  nǐ  gǔn 
13:18,等一下 等一下,-,děng  yī xià    děng  yī xià 
13:20,你们真是自愿吗,-,nǐ men  zhēn shì  zì yuàn  ma 
13:21,此事不必勉强,-,cǐ shì  bù bì  miǎn qiǎng 
13:24,我·自·愿,-,wǒ  ·  zì  ·  yuàn 
13:29,那言归正传,-,nà  yán guī zhèng zhuàn 
13:30,这与君山附近 有一个传说,-,zhè  yǔ  jūn shān  fù jìn    yǒu  yí gè  chuán shuō 
13:33,说山里住着一个诡新郎,-,shuō  shān lǐ  zhù  zhe  yí gè  guǐ  xīn láng 
13:35,面貌丑陋 行踪诡异,-,miàn mào  chǒu lòu    xíng zōng  guǐ yì 
13:38,专抢出嫁的新娘,-,zhuān  qiǎng  chū jià  de  xīn niáng 
13:40,过去近百年间 ,-,guò qù  jìn bǎi  nián jiān   
13:42,已有十七名新娘失踪,-,yǐ yǒu  shí qī míng  xīn niáng  shī zōng 
13:44,上百名送亲人遇难,-,shàng  bǎi míng  sòng  qīn rén  yù nàn 
13:47,这事原本传不到天上,-,zhè  shì  yuán běn  chuán bú dào  tiān shàng 
13:49,但恰恰第十七位新娘  父亲是个官老爷 ,- -,dàn  qià qià  dì shí qī  wèi  xīn niáng      fù qīn  shì  gè  guān lǎo yé   
13:53,当初风闻此地传说,-,dāng chū  fēng wén  cǐ dì  chuán shuō 
13:54,精心挑选了四十名勇武绝伦的随侍 护送爱女成亲,- -,jīng xīn  tiāo xuǎn  le  sì shí míng  yǒng wǔ  jué lún  de  suí shì    hù sòng  ài nǚ  chéng qīn 
13:59,偏偏女儿还是没了,-,piān piān  nǚ ér  hái shì  méi  le 
14:01,那官老爷爱女如命,-,nà  guān lǎo yé  ài nǚ  rú  mìng 
14:03,暴怒之下 联合一众官朋友,-,bào nù zhī xià    lián hé  yī  zhòng guān  péng yǒu 
14:06,倾尽全力祈福请愿,-,qīng jìn quán lì  qí fú  qǐng yuàn 
14:08,还重金悬赏诡新郎,-,hái  zhòng jīn  xuán shǎng  guǐ  xīn láng 
14:10,搞得整个北方不得安宁,-,gǎo  dé  zhěng gè  běi fāng  bù dé  ān níng 
14:12,这才惊动了上边的神官,-,zhè  cái  jīng dòng  le  shàng biān  de  shén guān 
14:15,我们此次的目标,-,wǒ men  cǐ cì  de  mù biāo 
14:16,便是抓到这诡新郎,-,biàn shì  zhuā dào  zhè  guǐ  xīn láng 
14:18,失踪新娘可有共同之处,-,shī zōng  xīn niáng  kě  yǒu  gòng tóng zhī chù 
14:21,有穷有富 有美有丑 有妻有妾,-,yǒu qióng  yǒu fù    yǒu  měi  yǒu  chǒu    yǒu  qī  yǒu  qiè 
14:26,一言蔽之 毫无规律,-,yī yán bì zhī    háo wú  guī lǜ 
14:29,有谁见过这诡新郎,-,yǒu  shuí  jiàn  guò  zhè  guǐ  xīn láng 
14:31,并无,-,bìng  wú 
14:34,既无人见过 你又怎知是诡新郎 不是别的什么,-,jì  wú rén  jiàn  guò    nǐ  yòu  zěn zhī  shì  guǐ  xīn láng    bú shì  bié de  shén me 
14:37,诡新郎只是一个叫法 ,-,guǐ  xīn láng  zhǐ shì  yí gè  jiào fǎ   
14:39,不过你说的有理,-,bù guò  nǐ  shuō  de  yǒu lǐ 
14:41,天色不早了,-,tiān sè  bù zǎo le 
14:43,先找个落脚地再讨论吧,-,xiān  zhǎo  gè  luò jiǎo  dì  zài  tǎo lùn  ba 
14:48,谁家的姑娘啊... -在这个当口送亲啊,-,shuí jiā  de  gū niáng  a  ...    -  zài  zhè gè  dāng  kǒu  sòng qīn  a 
14:51,那是…,-,nà  shì  … 
14:57,还有人不怕死 敢来送亲 都被抓走了,- -,hái yǒu  rén  bù pà sǐ    gǎn  lái  sòng qīn    dōu  bèi  zhuā zǒu  le 
15:13,这些人不对劲,-,zhè xiē  rén  bú duì jìn 
15:15,去看看,-,qù  kàn kàn 
15:16,你们快住手,-,nǐ men  kuài  zhù shǒu 
15:17,快停下来,-,kuài  tíng xià lái 
15:18,什么人,-,shén me  rén 
15:21,让开,-,ràng kāi 
15:23,姑娘 他们只想用你引出诡新郎,-,gū niáng    tā men  zhǐ  xiǎng  yòng  nǐ  yǐn chū  guǐ  xīn láng 
15:26,你莫要被骗了,-,nǐ  mò  yào  bèi  piàn  le 
15:27,让开,-,ràng kāi 
15:33,是个假的,-,shì  gè  jiǎ  de 
15:35,哼 好啊 又是你,-,hēng    hǎo  a    yòu  shì  nǐ 
15:38,你这臭婆娘 总坏老子好事,-,nǐ  zhè  chòu  pó niáng    zǒng huài  lǎo zi  hǎo shì 
15:42,要是你肯扮新娘,-,yào shì  nǐ  kěn bàn  xīn niáng 
15:45,老子也不会弄块儿木头作饵,-,lǎo zi  yě  bú huì  nòng  kuài ér  mù tou  zuò ěr 
15:47,好丑的丫头,-,hǎo chǒu  de  yā tou 
15:49,扶摇 不能这样说女孩子,-,fú yáo    bù néng  zhè yàng  shuō  nǚ hái zi 
15:51,那不是小彭头和小萤姑娘吗,-,nà  bú shì  xiǎo  péng  tóu  hé  xiǎo  yíng  gū niáng  ma 
15:53,还真是,-,hái  zhēn shì 
15:54,这个小彭头 成天带着一群泼皮,-,zhè gè  xiǎo  péng  tóu    chéng tiān  dài  zhe  yī qún  pō pí 
15:57,整些歪门邪道的,-,zhěng xiē  wāi mén xié dào  de 
15:59,最近又盯上官老爷的悬赏 ,-,zuì jìn  yòu  dīng shàng  guān lǎo yé  de  xuán shǎng   
16:01,要抓什么诡新郎,-,yào  zhuā  shén me  guǐ  xīn láng 
16:03,你 你们别听他的,-,nǐ    nǐ men  bié  tīng  tā  de 
16:04, 与君山那么危险 不要去,-,  yǔ  jūn shān  nà me  wēi xiǎn    bú yào  qù 
16:07,他 他只是想要赏金,-,tā    tā  zhǐ shì  xiǎng yào  shǎng jīn 
16:09,嘁！拿点钱怎么了,What's wrong with taking some money? Are,qī  ！  ná  diǎn  qián  zěn me  le 
16:10,大家伙儿不也顺道为民除害了吗,n't we also helping the people get rid of harm?,dà jiā huo ér  bù  yě  shùn dào  wèi mín chú hài  le  ma 
16:13,可不！这钱还少了呢,"Of course!  This money is still short,",kě bù  ！  zhè  qián  hái  shǎo  le  ne 
16:15,但 但这不是在送死吗,"but, aren't you courting death? We asked you to",dàn    dàn  zhè  bú shì  zài  sòng sǐ  ma 
16:18,之前让你假扮新娘子 你不肯,"pretend to be the bride before, but you refused.",zhī qián  ràng  nǐ  jiǎ bàn  xīn niáng zi    nǐ  bù kěn 
16:20,现在我们要去抓人 ,Now we are going to arrest someone and,xiàn zài  wǒ men  yào  qù  zhuā  rén   
16:22,你又来拦路,you come to block our way.,nǐ  yòu  lái  lán lù 
16:23,你到底什么意思,What do,nǐ  dào dǐ  shén me  yì sī 
16:24,就是 你说呀,you,jiù shì    nǐ  shuō  ya 
16:25,什么意思你 -这么不想让人去,"mean? Tell me, what do you mean? -You don't want anyone to go so much? It turns out that the",shén me  yì sī  nǐ    -  zhè me  bù xiǎng  ràng  rén  qù 
16:27,敢情那诡新郎是你的相好啊 -你胡说什么,weird groom is your lover. -What nonsense are you talking about?,gǎn qíng  nà  guǐ  xīn láng  shì  nǐ  de  xiāng hǎo  a    -  nǐ  hú shuō  shén me 
16:30, 你隔三差五就往与君山里跑 ,You go to Yujun Mountain every now and then.,  nǐ  gé sān chà wǔ  jiù wǎng  yǔ  jūn shān  lǐ  pǎo   
16:33,大伙都看到了吧,"Everyone has seen it, right? Ah,",dà huǒ  dōu  kàn dào  le  ba 
16:34,啊 这... -就是,this...,a    zhè  ...    -  jiù shì 
16:35,老实交代 ,"-Tell me the truth,",lǎo shí  jiāo dài   
16:37,你的相好在哪儿,-,nǐ  de  xiāng hǎo  zài  nǎ ér 
16:37,我不知道,I don't know who your lover is.,wǒ  bù  zhī dào 
16:39,你…你们别过来,"You...Don't come over here, you are",nǐ  …  nǐ men  bié guò lái 
16:49,欺人太甚,going too far. I,qī rén tài shèn 
16:53,听说这诡新郎满脸绷带 奇丑无比,heard that this weird groom has bandages all over his face and is extremely ugly.,tīng shuō  zhè  guǐ  xīn láng  mǎn liǎn  bēng dài    qí chǒu wú bǐ 
16:56,跟你还...,You even...,gēn  nǐ  hái  ... 
17:05,你 你是什么人,"you, who are you?",nǐ    nǐ  shì  shén me  rén 
17:10,哼,"Humph,",hēng 
